team_id,_fivetran_deleted,_fivetran_synced,activity_id,collective_name,gender,inserted_at,name,other_sources,season_id,team_level,updated_at,registration_code,school_activity_id,status
4,,2022-05-19T01:45:45.923Z,,team,boys,2022-04-03T23:48:32,Golf: Boys Registration,"[{""id"":""14fd6d4f-2f09-4c44-aa03-371e746ec946"",""source"":""rma"",""table_id"":""10866"",""table_name"":""sports""}]",,other,2022-05-17T21:38:44,,5,active
3,,2022-05-19T01:45:45.922Z,,team,boys,2022-04-03T22:01:15,Varsity,"[{""id"":""3e6f3e0a-f845-4061-aabe-b116ba62b8c4"",""source"":""rma"",""table_id"":""9640"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,6,active
6,,2022-05-19T01:45:45.925Z,,team,boys,2022-04-04T00:43:10,Varsity,"[{""id"":""6fdde93e-a575-4132-82bf-a6c44a0bf7da"",""source"":""rma"",""table_id"":""10043"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,7,active
11,,2022-05-19T01:45:45.926Z,,team,boys,2022-04-04T16:59:42,Varsity,"[{""id"":""1edda69c-cf43-4001-88fb-dda9c1e781b9"",""source"":""rma"",""table_id"":""19666"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,15,active
16,,2022-05-19T01:45:45.926Z,,team,boys,2022-04-04T21:25:05,Varsity,"[{""id"":""c5a07b95-f9f5-4779-9c76-1b9ad399a567"",""source"":""rma"",""table_id"":""8821"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,17,active
18,,2022-05-19T01:45:45.924Z,,team,boys,2022-04-04T21:27:06,Varsity,"[{""id"":""5116b5e7-b8f4-4b0f-b512-1d865575c9c8"",""source"":""rma"",""table_id"":""8834"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,19,active
15,,2022-05-19T01:45:45.951Z,,team,boys,2022-04-04T21:23:09,Varsity,"[{""id"":""57f28c7f-1f7d-4e83-a9d7-0945cbbcd734"",""source"":""rma"",""table_id"":""8819"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,21,active
58,,2022-05-19T01:45:45.946Z,,team,boys,2022-04-05T16:04:35,Varsity,"[{""id"":""995c283b-5881-40df-8083-a431a093565a"",""source"":""rma"",""table_id"":""19676"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,23,active
19,,2022-05-19T01:45:45.924Z,,team,boys,2022-04-04T21:31:24,Varsity,"[{""id"":""c31a5545-b204-4a88-aa94-2960a3b331fa"",""source"":""rma"",""table_id"":""19670"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,24,active
37,,2022-05-19T01:45:45.927Z,,team,boys,2022-04-05T02:37:00,Varsity,"[{""id"":""3ed7f7cc-c74e-473e-b275-77b3505c0c23"",""source"":""rma"",""table_id"":""9030"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,27,active
28,,2022-05-19T01:45:45.927Z,,team,boys,2022-04-05T02:06:22,Varsity,"[{""id"":""e238b2b4-52b3-4fc4-a758-12e21c3251e0"",""source"":""rma"",""table_id"":""9021"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,28,active
38,,2022-05-19T01:45:45.928Z,,team,boys,2022-04-05T02:39:21,Varsity,"[{""id"":""2d5b6efe-5dd2-4137-b7fe-26f5d68d99e3"",""source"":""rma"",""table_id"":""9046"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,29,active
39,,2022-05-19T01:45:45.928Z,,team,boys,2022-04-05T02:42:16,Varsity,"[{""id"":""127e64d2-b724-468b-ae05-0cc958965cba"",""source"":""rma"",""table_id"":""167337"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,31,active
32,,2022-05-19T01:45:45.929Z,,team,boys,2022-04-05T02:27:40,Varsity,"[{""id"":""5d08d1c5-0a3f-4b65-a39f-f2027b3cce90"",""source"":""rma"",""table_id"":""9027"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,32,active
45,,2022-05-19T01:45:45.947Z,,team,boys,2022-04-05T03:18:25,Varsity,"[{""id"":""b9bc026d-eca2-4317-996c-764da8586ced"",""source"":""rma"",""table_id"":""179039"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,38,active
46,,2022-05-19T01:45:45.948Z,,team,boys,2022-04-05T03:23:14,Varsity,"[{""id"":""fbdcaf29-93cf-4420-8628-e6570c5ff4fc"",""source"":""rma"",""table_id"":""19706"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,41,active
48,,2022-05-19T01:45:45.948Z,,team,boys,2022-04-05T03:28:19,Varsity,"[{""id"":""3eb28088-78e1-4a71-99bb-9b6766acee4c"",""source"":""rma"",""table_id"":""19718"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,42,active
51,,2022-05-19T01:45:45.948Z,,team,boys,2022-04-05T03:32:10,Varsity,"[{""id"":""681ed0d9-afed-4565-80ac-e8135f7de7d1"",""source"":""rma"",""table_id"":""19712"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,43,active
71,,2022-05-19T01:45:45.949Z,,team,boys,2022-04-07T17:27:44,Varsity,"[{""id"":""558c07c2-f68a-4a89-bbce-44c840aef52c"",""source"":""rma"",""table_id"":""186276"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,47,active
54,,2022-05-19T01:45:45.945Z,,team,boys,2022-04-05T05:16:36,Junior Varsity,"[{""id"":""ab257cc3-ba34-4253-b771-e3a69e537b65"",""source"":""rma"",""table_id"":""186269"",""table_name"":""teams""}]",,junior_varsity,2022-05-17T21:38:44,,49,active
69,,2022-05-19T01:45:45.930Z,,team,boys,2022-04-06T20:06:52,Junior Varsity,"[{""id"":""3edacf73-755d-42fb-ae68-0dd1e3a169b6"",""source"":""rma"",""table_id"":""186295"",""table_name"":""teams""}]",,junior_varsity,2022-05-17T21:38:44,,50,active
64,,2022-05-19T01:45:45.949Z,,team,boys,2022-04-06T19:03:01,Junior Varsity,"[{""id"":""2d7eeeda-967a-4028-a0a1-f50baeb20008"",""source"":""rma"",""table_id"":""186273"",""table_name"":""teams""}]",,junior_varsity,2022-05-17T21:38:44,,51,active
62,,2022-05-19T01:45:45.950Z,,team,boys,2022-04-05T17:57:11,Junior Varsity,"[{""id"":""794cf22f-b02a-41a8-bdb0-8558f281b1de"",""source"":""rma"",""table_id"":""194571"",""table_name"":""teams""}]",,junior_varsity,2022-05-17T21:38:44,,56,active
77,,2022-05-19T01:45:45.952Z,,team,boys,2022-04-20T19:45:49,Varsity Baseball Roster,"[{""id"":""eb464318-5ad7-44df-8d1f-8049992850b0"",""source"":""rma"",""table_id"":""5712"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,57,active
79,,2022-05-19T01:45:45.952Z,,team,boys,2022-04-20T19:45:49,Boys Varsity Basketball Roster,"[{""id"":""eb595a7c-71f1-418a-95ff-4a146fd1faaf"",""source"":""rma"",""table_id"":""16040"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,60,active
80,,2022-05-19T01:45:45.952Z,,team,boys,2022-04-20T19:45:49,Wrestling Eligibility List,"[{""id"":""c5682742-1787-4ed8-b0d0-2235c6050c99"",""source"":""rma"",""table_id"":""16041"",""table_name"":""teams""}]",,other,2022-05-17T21:38:44,,61,active
73,,2022-05-19T01:45:45.950Z,,team,boys,2022-04-20T19:45:49,Varsity Football,"[{""id"":""b30e6eee-0495-495c-aed5-287c425e2a52"",""source"":""rma"",""table_id"":""758"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,62,active
74,,2022-05-19T01:45:45.950Z,,team,boys,2022-04-20T19:45:49,Boys Golf,"[{""id"":""68482b56-5980-4ab8-9127-376b4b4c3c0b"",""source"":""rma"",""table_id"":""763"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,63,active
82,,2022-05-19T01:45:45.952Z,,team,boys,2022-04-20T20:10:45,Tennis 2022,"[{""id"":""16e23465-c06d-471f-ae42-78283cb199b5"",""source"":""rma"",""table_id"":""19478"",""table_name"":""teams""}]",,other,2022-05-17T21:38:44,,64,active
85,,2022-05-19T01:45:45.953Z,,team,boys,2022-04-20T20:10:45,Varsity Soccer 2022,"[{""id"":""22fd2ec4-66d9-43e4-a0bc-3054d6e97e5d"",""source"":""rma"",""table_id"":""170277"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,66,active
87,,2022-05-19T01:45:45.954Z,,team,boys,2022-04-20T20:10:45,Golf 2021-2022,"[{""id"":""dfa961cf-25fc-44cc-92f0-368b7c6fed77"",""source"":""rma"",""table_id"":""181964"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,71,active
103,,2022-05-19T01:45:45.954Z,,team,boys,2022-05-10T19:07:10,Varsity,"[{""id"":""cefcd7b6-1e54-4624-a605-940777594df9"",""source"":""rma"",""table_id"":""5169"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,72,active
91,,2022-05-19T01:45:45.954Z,,team,boys,2022-04-20T20:42:42,Varsity,"[{""id"":""13b08712-8ab5-4e2a-9100-4b76ee6fa378"",""source"":""rma"",""table_id"":""5045"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,73,active
93,,2022-05-19T01:45:45.955Z,,team,boys,2022-04-20T20:42:42,Varsity,"[{""id"":""f5dd1c68-c1d8-44ac-acbc-c0f50c2bb1c7"",""source"":""rma"",""table_id"":""9682"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,77,active
94,,2022-05-19T01:45:45.955Z,,team,boys,2022-04-20T20:42:42,Boys Golf,"[{""id"":""8366a663-f2d9-4af3-89df-4ab43b405686"",""source"":""rma"",""table_id"":""11246"",""table_name"":""teams""}]",,other,2022-05-17T21:38:44,,78,active
101,,2022-05-19T01:45:45.956Z,,team,boys,2022-04-20T22:15:28,2022 Varsity Girl's Lacrosse,"[{""id"":""14e45871-f8b5-4f45-89a7-c6fcd51c1e02"",""source"":""rma"",""table_id"":""199413"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,79,active
99,,2022-05-19T01:45:45.955Z,,team,boys,2022-04-20T22:15:28,Boys Lacrosse - Varsity,"[{""id"":""9badb7a8-da2b-4ba4-a69a-851e2c09857b"",""source"":""rma"",""table_id"":""183882"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,79,active
95,,2022-05-19T01:45:45.956Z,,team,boys,2022-04-20T22:15:28,Varsity,"[{""id"":""84be366c-97ad-4654-b1c4-7bca8ae21811"",""source"":""rma"",""table_id"":""905"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,81,active
1,,2022-05-19T01:45:45.920Z,,team,coed,2022-04-01T22:59:47,Aktivate Product Devs,[],,varsity,2022-05-17T21:38:44,,1,active
7,,2022-05-19T01:45:45.923Z,,team,coed,2022-04-04T00:45:10,Marching Band Registration,"[{""id"":""15935b74-7fa6-401c-b9ff-ec815d44264f"",""source"":""rma"",""table_id"":""10873"",""table_name"":""sports""}]",,other,2022-05-17T21:38:44,,8,active
56,,2022-05-19T01:45:45.920Z,,team,coed,2022-04-05T15:59:22,Varsity,"[{""id"":""baa5dde5-3711-4a13-bca8-6d27f3aa0cfc"",""source"":""rma"",""table_id"":""178836"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,11,active
10,,2022-05-19T01:45:45.923Z,,team,coed,2022-04-04T16:52:09,Marching Band 2018,"[{""id"":""b0bbd521-ceff-4fbf-bf0b-e79a09c39a22"",""source"":""rma"",""table_id"":""174805"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,12,active
17,,2022-05-19T01:45:45.951Z,,team,coed,2022-04-04T21:26:18,Varsity,"[{""id"":""afa72049-3d63-4384-9c50-b241e592da0f"",""source"":""rma"",""table_id"":""19658"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,22,active
26,,2022-05-19T01:45:45.911Z,,team,coed,2022-04-05T01:37:24,Varsity,"[{""id"":""4d005ad2-6f79-48ed-9c34-586b3d50d9cf"",""source"":""rma"",""table_id"":""179463"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,25,active
20,,2022-05-19T01:45:45.927Z,,team,coed,2022-04-04T21:33:06,Varsity,"[{""id"":""8957e7f9-ba81-4cc2-856b-776687ad95f8"",""source"":""rma"",""table_id"":""8755"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,26,active
31,,2022-05-19T01:45:45.929Z,,team,coed,2022-04-05T02:24:24,Varsity,"[{""id"":""0b5590cb-fb3e-4c03-9d9c-dd24f72941e2"",""source"":""rma"",""table_id"":""8959"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,33,active
30,,2022-05-19T01:45:45.951Z,,team,coed,2022-04-05T02:18:30,Sophomore/Freshman,"[{""id"":""429c4e3e-5ba8-4435-8c4b-176b86181a5b"",""source"":""rma"",""table_id"":""8961"",""table_name"":""teams""}]",,other,2022-05-17T21:38:44,,33,active
36,,2022-05-19T01:45:45.929Z,,team,coed,2022-04-05T02:35:19,Varsity,"[{""id"":""dad15470-239a-469f-bd72-af52115ff2ae"",""source"":""rma"",""table_id"":""189020"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,34,active
35,,2022-05-19T01:45:45.929Z,,team,coed,2022-04-05T02:33:30,Varsity,"[{""id"":""11fa8f76-7ae1-408e-aa8a-d10efa8124ea"",""source"":""rma"",""table_id"":""8956"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,35,active
43,,2022-05-19T01:45:45.947Z,,team,coed,2022-04-05T03:13:29,Varsity,"[{""id"":""60f4101d-dd7b-4927-8bf8-1de60c941e5b"",""source"":""rma"",""table_id"":""179053"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,36,active
40,,2022-05-19T01:45:45.930Z,,team,coed,2022-04-05T03:05:22,Marching Band Registration,"[{""id"":""280ee69b-95b8-4979-9f36-04d327bb5ffb"",""source"":""rma"",""table_id"":""94805"",""table_name"":""sports""}]",,other,2022-05-17T21:38:44,,37,active
